curve,dims,m0,m1,m2,total_points,method,WL_inf,WL_2,WL_1,WBA,WBP
Hamilton-CHI,2,6,6,0,4096,exhaustive,5.587209,5.587209,8.620488,2.392523,2.392523
LC-CHI-BRGC,2,6,6,0,4096,exhaustive,5.587209,5.587209,8.620488,2.392523,2.392523
LC-CHI-Balanced,2,6,6,0,4096,exhaustive,5.587209,5.587209,8.620488,2.392523,2.392523
LC-CHI-Random,2,6,6,0,4096,exhaustive,5.587209,5.587209,8.620488,2.392523,2.392523
Hamilton-CHI,2,8,4,0,4096,exhaustive,128.000000,240.500000,480.500000,136.000000,136.125000
LC-CHI-BRGC,2,8,4,0,4096,exhaustive,16.562659,16.562659,18.175019,2.370370,4.711156
LC-CHI-Balanced,2,8,4,0,4096,exhaustive,16.562659,16.562659,18.175019,2.370370,4.711156
LC-CHI-Random,2,8,4,0,4096,exhaustive,16.562659,16.562659,18.175019,2.370370,4.711156
Hamilton-CHI,2,7,7,0,16384,exhaustive,5.802632,5.802632,8.811325,2.398126,2.398126
LC-CHI-BRGC,2,7,7,0,16384,exhaustive,5.802632,5.802632,8.811325,2.398126,2.398126
LC-CHI-Balanced,2,7,7,0,16384,exhaustive,5.802632,5.802632,8.811325,2.398126,2.398126
LC-CHI-Random,2,7,7,0,16384,exhaustive,5.802632,5.802632,8.811325,2.398126,2.398126
Hamilton-CHI,2,9,5,0,16384,exhaustive,512.000000,992.500000,1984.500000,528.000000,528.125000
LC-CHI-BRGC,2,9,5,0,16384,exhaustive,16.629792,16.629792,18.316849,2.392523,4.711756
LC-CHI-Balanced,2,9,5,0,16384,exhaustive,16.629792,16.629792,18.316849,2.392523,4.711756
LC-CHI-Random,2,9,5,0,16384,exhaustive,16.629792,16.629792,18.316849,2.392523,4.711756
Hamilton-CHI,2,9,9,0,262144,sampled_10000,4.747406,4.794099,8.041483,2.286991,2.332999
LC-CHI-BRGC,2,9,9,0,262144,sampled_10000,4.747406,4.794099,8.041483,2.286991,2.332999
LC-CHI-Balanced,2,9,9,0,262144,sampled_10000,4.747406,4.794099,8.041483,2.286991,2.332999
LC-CHI-Random,2,9,9,0,262144,sampled_10000,4.747406,4.794099,8.041483,2.286991,2.332999
Hamilton-CHI,2,11,7,0,262144,sampled_10000,442.225000,814.325000,1625.625000,435.200000,435.600000
LC-CHI-BRGC,2,11,7,0,262144,sampled_10000,4.747406,4.794099,8.041483,2.286991,2.332574
LC-CHI-Balanced,2,11,7,0,262144,sampled_10000,4.747406,4.794099,8.041483,2.286991,2.332574
LC-CHI-Random,2,11,7,0,262144,sampled_10000,4.747406,4.794099,8.041483,2.286991,2.332574
Hamilton-CHI,2,12,6,0,262144,sampled_10000,384.400000,756.500000,1512.900000,416.000000,416.025000
LC-CHI-BRGC,2,12,6,0,262144,sampled_10000,7.621027,7.635174,8.927267,2.286991,2.533282
LC-CHI-Balanced,2,12,6,0,262144,sampled_10000,7.621027,7.635174,8.927267,2.286991,2.533282
LC-CHI-Random,2,12,6,0,262144,sampled_10000,7.621027,7.635174,8.927267,2.286991,2.533282
Hamilton-CHI,2,13,5,0,262144,sampled_10000,512.000000,992.500000,1984.500000,528.000000,528.125000
LC-CHI-BRGC,2,13,5,0,262144,sampled_10000,26.193137,26.193482,27.443575,2.332574,7.212800
LC-CHI-Balanced,2,13,5,0,262144,sampled_10000,26.193137,26.193482,27.443575,2.332574,7.212800
LC-CHI-Random,2,13,5,0,262144,sampled_10000,26.193137,26.193482,27.443575,2.332574,7.212800
